,rank,rating,ratings_count,score,votes,page
rank,1.0,-0.09461945047362944,-0.22815462964367264,-0.4162797333051984,-0.42405554323688593,0.9987357973679208
rating,-0.09461945047362944,1.0,0.08175718489110814,0.06913100755009781,0.06684758040395178,-0.09295754259735498
ratings_count,-0.22815462964367264,0.08175718489110814,1.0,0.36275991169738775,0.37058382427629694,-0.22764508874929396
score,-0.4162797333051984,0.06913100755009781,0.36275991169738775,1.0,0.9995539483104633,-0.41006259831706116
votes,-0.42405554323688593,0.06684758040395178,0.37058382427629694,0.9995539483104633,1.0,-0.4179107121793164
page,0.9987357973679208,-0.09295754259735498,-0.22764508874929396,-0.41006259831706116,-0.4179107121793164,1.0
