Cluster,Number_of_Books,Average_Rating,Average_Rating_Count,Average_Meta_Score,Average_Votes
0,483,3.6968115942028983,154288.6397515528,798.9358178053831,9.279503105590063
1,451,4.308558758314856,2413.350332594235,1164.50110864745,12.616407982261642
2,233,4.071459227467811,1086343.442060086,12234.781115879829,129.92274678111588
3,831,4.117653429602888,378664.3706377858,745.4753309265944,9.048134777376655
